Rank,Movie,"Release Date",Distributor,Genre,2019 Gross,Tickets Sold
320,Beautiful Boy,"Oct 12, 2018",Amazon Studios,Drama,"$23,952","2,629"
321,In the Aisles,"Jun 14, 2019",Music Box Films,Drama,"$23,088","2,534"
322,The House That Jack Built,"Dec 14, 2018",IFC Films,Thriller/Suspense,"$22,030","2,418"
323,The Hole in the Ground,"Mar 1, 2019",A24,Horror,"$21,072","2,313"
324,The Gospel of Eureka,"Feb 8, 2019",Kino Lorber,Documentary,"$20,873","2,291"
325,Out of Blue,"Mar 15, 2019",IFC Films,Drama,"$18,779","2,061"
326,Before Stonewall,"Jun 21, 2019",First Run Features,Documentary,"$18,724","2,055"
327,"Phoenix, Oregon","Apr 26, 2019",Joma Films,Comedy,"$18,356","2,014"
328,Jane and Emma,"Oct 12, 2018",Excel Entertainment,Drama,"$17,405","1,910"
329,The Cranes are Flying,"Mar 21, 1960",Warner Bros.,Drama,"$16,990","1,864"
330,Joseph Pulitzer: Voice of t…,"Mar 1, 2019",First Run Features,Documentary,"$16,971","1,862"
331,The Mountain,"Jul 26, 2019",Kino Lorber,Black Comedy,"$16,928","1,858"
332,Virginia Minnesota,"Mar 1, 2019",Indican Pictures,Comedy,"$16,118","1,769"
333,Piercing,"Feb 1, 2019",Greenwich,Horror,"$15,856","1,740"
334,Starfish,"Mar 15, 2019",Self Distributed,Horror,"$15,850","1,739"
335,Funan,"Jun 7, 2019",GKIDS,Drama,"$15,152","1,663"
336,For Sama,"Jul 26, 2019",PBS Distribution,Documentary,"$15,143","1,662"
337,Frank and Ava,"Dec 7, 2018",Gravitas Ventures,Drama,"$14,820","1,626"
338,Giant Little Ones,"Mar 1, 2019",Vertical Entertai…,Drama,"$14,500","1,591"
339,Combat Obscura,"Mar 15, 2019",Oscilloscope Pict…,Documentary,"$14,242","1,563"
340,Three Peaks,"Jun 28, 2019",Greenwich,Drama,"$14,000","1,536"
341,Screwball,"Mar 29, 2019",Greenwich,Multiple Genres,"$13,967","1,533"
342,Touch Me Not,"Jan 11, 2019",Kino Lorber,Documentary,"$13,782","1,512"
343,This One’s For The Ladies,"Jun 7, 2019",Super LTD,Documentary,"$13,688","1,502"
344,Crazy Rich Asians,"Aug 15, 2018",Warner Bros.,Romantic Comedy,"$13,586","1,491"
345,Hagazussa: A Heathen’s Curse,"Apr 19, 2019",Doppelganger Rele…,Horror,"$13,253","1,454"
346,Our Time,"Jun 14, 2019",Monument Releasing,Drama,"$12,897","1,415"
347,Off Season,"Mar 15, 2019",Indican Pictures,Thriller/Suspense,"$12,544","1,376"
348,Zen for Nothing,"Mar 29, 2019",Zeitgeist,Documentary,"$12,107","1,328"
349,Made Me Do It,"Apr 12, 2019",Indican Pictures,Horror,"$11,151","1,224"
350,Ferrante Fever,"Mar 8, 2019",Greenwich,Documentary,"$11,137","1,222"
351,If the Dancer Dances,"Apr 26, 2019",Monument Releasing,Documentary,"$10,912","1,197"
352,The Eyes of Orson Welles,"Mar 15, 2019",Janus Films,Documentary,"$10,252","1,125"
353,A Private War,"Nov 2, 2018",Aviron Pictures,Drama,"$10,098","1,108"
354,Studio 54,"Oct 5, 2018",Zeitgeist,Documentary,"$9,355","1,026"
355,Tyrel,"Dec 5, 2018",Magnolia Pictures,Drama,"$9,314","1,022"
356,The Aspern Papers,"Jan 11, 2019",Cohen Media Group,Drama,"$9,277","1,018"
357,Liyana,"Oct 10, 2018",Abramorama Films,Documentary,"$9,223","1,012"
358,Cassandro the Exotico,"Jul 19, 2019",Film Movement,Documentary,"$8,914",978
359,Yomeddine,"May 31, 2019",Strand,Adventure,"$8,822",968
360,Jay Myself,"Jul 31, 2019",Oscilloscope Pict…,Documentary,"$8,662",950
361,Suburban Birds,"Apr 5, 2019",Cinema Guild,Drama,"$8,560",939
362,Streetwise,"Jul 19, 2019",Janus Films,Documentary,"$8,304",911
363,This Magnificent Cake!,"Mar 1, 2019",GKIDS,,"$7,888",865
364,Ghost Fleet,"Jun 7, 2019",Abramorama Films,Documentary,"$7,850",861
365,Girls of the Sun,"Apr 12, 2019",Cohen Media Group,Drama,"$7,801",856
366,I’ll Take Your Dead,"Jul 5, 2019",Breakthrough Ente…,Horror,"$7,692",844
367,Grass,"Apr 19, 2019",Cinema Guild,Drama,"$7,447",817
368,My Son,"May 10, 2019",Cohen Media Group,Thriller/Suspense,"$6,984",766
369,"Frantz Fanon: Black Skin, W…","Mar 15, 2019",Film Movement,Documentary,"$6,859",752
370,Life & Nothing More,"Oct 24, 2018",CFI,Drama,"$6,745",740
371,Under the Eiffel Tower,"Feb 8, 2019",The Orchard,Romantic Comedy,"$6,291",690
372,Relaxer,"Mar 22, 2019",Oscilloscope Pict…,Comedy,"$6,133",673
373,The Charmer,"Dec 5, 2018",Film Movement,Thriller/Suspense,"$6,118",671
374,"Monrovia, Indiana","Oct 26, 2018",Zipporah,Documentary,"$5,738",629
375,I Do Not Care If We Go Down…,"Jul 19, 2019",Big World Pictures,Black Comedy,"$5,734",629
376,Of Fathers and Sons,"Nov 16, 2018",Kino Lorber,Documentary,"$5,643",619
377,Daughter of Mine,"Feb 1, 2019",Strand,Drama,"$5,447",597
378,Body at Brighton Rock,"Apr 26, 2019",Magnolia Pictures,Thriller/Suspense,"$5,123",562
379,Rosie,"Jul 19, 2019",Blue Fox Entertai…,Drama,"$5,035",552
380,The Garden,"Dec 31, 1990",International Fil…,Drama,"$5,006",549
381,Un Traductor,"Oct 19, 2018",Film Movement,Drama,"$4,879",535
382,Slaughterhouse Rulez,"May 17, 2019",Sony Pictures,Action,"$4,665",512
383,Tito and the Birds,"Jan 25, 2019",Shout! Factory,Adventure,"$4,332",475
384,At War,"Jul 19, 2019",Cinema Libre,Drama,"$4,297",471
385,The Fate of Lee Khan,"Apr 5, 2019",Film Movement,Action,"$4,295",471
386,Sicilian Ghost Story,"Nov 30, 2018",Strand,Drama,"$3,935",431
387,Mother of a Day,"May 4, 2019",Sumbadhat Product…,Comedy,"$3,919",430
388,Chasing Portraits,"Feb 26, 2019",First Run Features,Documentary,"$3,076",337
389,Filmworker,"May 11, 2018",Kino Lorber,Documentary,"$3,016",331
390,Wings of Desire (1987) (Re-…,"Oct 19, 2018",Janus Films,Drama,"$3,004",329
391,Back to the Fatherland,"Jun 14, 2019",First Run Features,Documentary,"$2,697",296
392,"No Date, No Signature","Aug 1, 2018",Distrib Films,Drama,"$2,567",281
393,The Wandering Soap Opera,"May 17, 2019",Cinema Guild,Comedy,"$2,555",280
394,Iceman,"Mar 15, 2019",Film Movement,Thriller/Suspense,"$2,138",234
395,TINY: The Life of Erin Blac…,"Jul 19, 2019",Janus Films,Documentary,"$2,133",234
396,Jihadists,"Jan 25, 2019",Cinema Libre,Documentary,"$1,939",212
397,In Safe Hands,"Jul 26, 2019",Distrib Films,Drama,"$1,737",190
398,Detour,"Nov 30, 1945",Producers Releasi…,Drama,"$1,540",169
399,State Like Sleep,"Jan 4, 2019",The Orchard,Drama,"$1,469",161
400,The Hours and Times,"Mar 1, 2019",Oscilloscope Pict…,Drama,"$1,273",139
401,Narcissister Organ Player,"Nov 7, 2018",Film Movement,Documentary,"$1,015",111
402,Chef Flynn,"Nov 9, 2018",Kino Lorber,Documentary,$721,79
403,I am Not a Witch,"Sep 7, 2018",Film Movement,Drama,$550,60
404,Divide and Conquer: The Sto…,"Dec 7, 2018",Magnolia Pictures,Documentary,$474,52
405,Senso,"Jul 8, 1968",Fleetwood Films,Drama,$437,47
406,Never-Ending Man: Hayao Miy…,"Dec 13, 2018",GKIDS,Documentary,$376,41

